id,name,artists,album,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6KLryqTzWSb2arerRgw0r0,Televisions,Current Joys | ,Wild Heart,2013,61,0.523,0.685,9,-12.989,1,0.0417,0.358,0.816,0.274,0.945,184.481,156107,4
5ixgNHKIg7Vj4xb3Rv4BXS,Unnai Solli Kutramillai,T. M. Soundararajan | ,Kulamagal Radhai (Original Motion Picture Soundtrack),1963,17,0.249,0.52,7,-9.954,0,0.0756,0.954,0.00596,0.304,0.528,83.615,212347,4
4a523vS6eCweMMW2t7vLCg,Good Luck Charm,Elvis Presley | ,Elvis 30 #1 Hits (Expanded Edition),2022,55,0.601,0.564,11,-8.501,0,0.0404,0.641,0.0,0.39,0.808,120.848,145400,4
7AclP0W2jy6yrbvBiC4prQ,Setting the World On Fire (with P!NK),Kenny Chesney | P!nk,Cosmic Hallelujah,2017,63,0.61,0.822,0,-4.422,1,0.0355,0.0171,1.88e-06,0.093,0.437,93.993,217467,4
6k2zhxpm6th330jainKJF1,Chellame Chellame,Harris Jayaraj | Balram,Sathyam (Original Motion Picture Soundtrack),2008,45,0.715,0.417,2,-8.934,0,0.0424,0.588,0.000156,0.0721,0.466,80.104,363546,4
6Vn9CsCTq0gVAoz2hATmgd,I Want It That Way,Rock the Cradle | ,Lullaby Versions of Backstreet Boys,2018,36,0.926,0.0791,6,-20.966,0,0.158,0.967,0.409,0.0842,0.799,94.01,223000,4
58Znl2X9CgsghGUZrkEUr4,It Had to Be You (Big Band and Vocals),Harry Connick  Jr. | ,When Harry Met Sally... Music From The Motion Picture,1989,60,0.543,0.284,5,-13.205,1,0.051,0.683,0.0,0.101,0.409,125.558,158227,4
5uIAjyOvC9PjzCpeMRcQo8,I Got the Same Old Blues (feat. Tom Petty),Eric Clapton | Tom Petty,Eric Clapton & Friends - The Breeze (An Appreciation of JJ Cale),2014,36,0.618,0.685,7,-8.112,1,0.0265,0.335,0.0499,0.132,0.796,91.991,182987,4
7KH4rEEbvp7uYVJ4rz6PW9,Pantomime,Furari | ,Pantomime,2023,29,0.367,0.114,4,-20.079,1,0.0309,0.952,0.842,0.0915,0.105,64.048,153000,4
4V9Ue6TRdHECudrdPWqyss,Night & Day,Tribal Seeds | ,Representing,2014,55,0.865,0.623,6,-7.315,0,0.0387,0.00975,0.000521,0.0842,0.693,134.972,253230,1
2UsYQNgpG5tjcDoq8Yg0Nl,Bhare Naina,Nandini Srikar | ,Ra-One,2011,58,0.399,0.488,1,-6.984,0,0.0465,0.148,0.000641,0.152,0.543,147.21,360792,4
4jmrrRQLXEFFhgON3lbGZz,Lolikiriya,Siddharth Vipin | Marana Gaana Viji,Junga (Original Motion Picture Soundtrack),2018,25,0.665,0.771,6,-7.823,1,0.192,0.388,0.0,0.0808,0.702,169.806,230997,4
1lK5iIMKifrxERzS3iimJH,Breathe on Me,Britney Spears | ,In The Zone,2003,58,0.709,0.565,5,-6.395,0,0.0471,0.00209,0.0125,0.0901,0.571,112.203,223760,4
5uAtX8tVwC7h1FMUT7cCrv,Even,Chris Brown | ,Heartbreak on a Full Moon,2017,41,0.348,0.604,1,-8.068,1,0.152,0.365,0.0,0.183,0.298,79.057,239231,3
4ECNtOnqzxutZkXP4TE3n3,Separate Ways (Worlds Apart),Journey | ,Frontiers,1983,73,0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,323707,4
487TNL4RRcZqOfpUQWX33M,Chandrodhayam,T. M. Soundararajan | P. Susheela,Chandrodhayam (Original Motion Picture Soundtrack),1966,12,0.332,0.712,10,-4.86,1,0.0334,0.959,0.00665,0.251,0.615,103.558,293413,4
5lWRaa0fBxDE5yU91npPq7,Just A Girl,No Doubt | ,Tragic Kingdom,1995,76,0.638,0.906,2,-4.824,1,0.0504,0.0662,6.88e-05,0.142,0.767,107.991,209200,4
3f87SSWTda0TCaIO5OS1z7,Mella Sirithai,Haricharan | Chinmayi,Kalyana Samayal Saadham (Original Motion Picture Soundtrack),2013,33,0.648,0.597,2,-8.174,1,0.0379,0.487,4.02e-05,0.0824,0.473,99.636,258021,4
6CGhUICDi5JOZZKF6hXiDf,Neethaane Naaldhorum,Ilaiyaraaja | K. J. Yesudas,Paattu Vaathiyar (Original Motion Picture Soundtrack),1995,9,0.611,0.383,11,-12.015,0,0.0339,0.873,1.6e-05,0.182,0.871,80.071,306333,4
3wtV2ifnHzirkAElgTGh63,Amazing Day,Coldplay | ,A Head Full of Dreams,2015,59,0.451,0.636,5,-5.796,1,0.0274,0.017,0.435,0.141,0.289,97.041,271107,3
4JqgUZ4yZqjeEmgJNsuUjX,SKIN TO BONE,Linkin Park | ,LIVING THINGS,2012,54,0.471,0.977,9,-3.593,0,0.054,0.0435,0.0777,0.433,0.762,159.992,168347,4
2N8Hveq38AoJqTma6lUNzL,Amman Koyil Ellamae,Ilaiyaraaja | Arunmozhi,Rajavin Parvaiyile (Original Motion Picture Soundtrack),1995,9,0.761,0.396,4,-11.157,0,0.0313,0.694,0.0,0.064,0.483,100.014,311771,4
5lycbSxZhxKFVWkK8fm0FT,Romeo+Juliette,SHINee | ,ROMEO - The Second Mini Album,2009,33,0.676,0.751,1,-4.613,0,0.0316,0.194,0.0,0.0815,0.801,108.03,279827,4
3hWUIMNBwLNug1O8o2PPRW,Too Hotty,Quality Control | Migos,Quality Control: Control The Streets Volume 1,2017,59,0.889,0.398,1,-7.183,1,0.204,0.19,0.0,0.104,0.159,129.993,295997,4
5TBvzAlyJ3CHlq7wMqpLhW,The Distance (feat. Ty Dolla $ign),Mariah Carey | Ty Dolla $ign,Caution,2018,39,0.701,0.691,9,-5.937,1,0.0808,0.07,0.0,0.844,0.587,131.843,207587,4
1efuoLEUL1K0D96d63svRO,Easy Skanking,Bob Marley & The Wailers | ,Legend - The Best Of Bob Marley And The Wailers,2002,62,0.824,0.522,10,-8.567,1,0.0384,0.0159,3.12e-06,0.105,0.581,126.238,177440,4
454I78HEySdcHE8fcVabTb,Amsterdam,Nothing But Thieves | ,Broken Machine (Deluxe),2017,69,0.511,0.934,3,-4.561,1,0.242,0.00403,3.48e-05,0.242,0.668,168.062,272240,4
5djDnTwEoaz05ppwHKf4hp,Aaraarum Kaanathe - Chandrolsavam,Sayanth S | ,Aaraarum Kaanathe - Chandrolsavam,2020,46,0.386,0.176,6,-15.301,1,0.0412,0.921,0.0234,0.133,0.389,155.988,116923,4
1nrgBXtczBXNSlqIezjwbR,Memory Lane,Old Dominion | ,Memory Lane,2023,65,0.647,0.774,6,-5.136,1,0.0362,0.0185,1.47e-05,0.0849,0.376,118.968,172480,4
4Dyw6MWsuT2CYl0y8udn3z,I'm Gonna Be Around - 2014 Remaster,Michael Learns To Rock | ,Nothing to Lose (2014 Remaster),2014,52,0.575,0.473,2,-8.957,0,0.0242,0.0534,0.0,0.144,0.569,164.018,262000,4
7nF3hHk6cN6zAUpTNem0EH,Malargalai Padaitha,Bharadwaj | Srinivas,Pandavar Bhoomi (Original Motion Picture Soundtrack),2001,7,0.633,0.339,10,-13.373,0,0.0293,0.153,8.13e-06,0.0696,0.221,131.985,360433,4
7wBZF3nBfrKlIZ0bEwtw5a,Ayayayoo Aananthamey,D. Imman | Haricharan,Kumki (Original Motion Picture Soundtrack),2012,49,0.66,0.756,0,-5.637,0,0.0393,0.45,0.0,0.0422,0.778,119.93,264600,3
7rU7uLC3OCfxCe7Hhh6FXj,Naetru Aval Irundhal,A.R. Rahman | Vijay Prakash,Maryan (Original Motion Picture Soundtrack),2013,58,0.377,0.271,7,-13.725,1,0.029,0.869,1.44e-05,0.0887,0.172,79.743,298627,3
2XTquzYQAdT1Hk78bOUwsv,Greatest,Eminem | ,Kamikaze,2018,62,0.809,0.737,1,-5.186,1,0.108,0.0441,0.0,0.341,0.367,80.025,226938,4
2FNoApbnHCY9BMpyoD656K,I Get Wicked,Thousand Foot Krutch | ,The End Is Where We Begin,2012,47,0.574,0.888,7,-5.346,1,0.0886,0.000239,0.0,0.144,0.686,161.95,213452,4
4K6TcVhGobbV2bHHmcCEEm,Maybe  Maybe,a-ha | ,Scoundrel Days,1986,44,0.544,0.705,1,-12.829,0,0.0386,0.023,0.143,0.11,0.58,182.001,156427,4
6Qay9KA4CFwJPN9QqyweKO,Pachayathilu,Sujatha | ,Paandippada (Original Motion Picture Soundtrack),2005,53,0.513,0.807,1,-9.538,0,0.212,0.38,0.026,0.237,0.862,63.431,286276,4
1oarZ29ZGSZwJa8o30lV46,Sideways,Carly Rae Jepsen | ,The Loneliest Time,2022,56,0.689,0.61,4,-7.494,1,0.0609,0.0398,1.87e-06,0.0649,0.787,171.995,136093,4
1cc1QPB6ybcQ72OSD8tjb4,Sold My Soul to Satan Waiting in Line at the Mall,$uicideboy$ | ,YUNGDEATHLILLIFE,2015,57,0.709,0.478,8,-8.788,1,0.0568,0.166,0.0,0.107,0.161,111.028,138577,4
33l36n4oPrPnTXPf6chl6Z,Nandhavanathil,Gangai Amaran | ,Karakattakkaran (Original Motion Picture Soundtrack),1989,45,0.385,0.895,3,-6.798,1,0.224,0.562,0.0,0.667,0.815,72.221,63997,4
745H5CctFr12Mo7cqa1BMH,My Girl,The Temptations | ,The Temptations Sing Smokey,1965,83,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,165000,4
3ViX2rsykfyezrn6XRzjfD,"Deepavali Deepavali (From ""Sivakasi"")",KK | Vasundhara Das,Sweet Voice of K.K,2013,31,0.659,0.881,9,-6.946,0,0.14,0.116,0.00686,0.0854,0.694,193.926,275994,4
2JVZSUwPWzfBdgkdy3ZHet,Still Alive,Aperture Science Psychoacoustic Laboratories | ,Portal 2: Songs to Test by (Collectors Edition),2012,51,0.776,0.458,2,-8.815,1,0.0341,0.851,8.19e-05,0.166,0.871,120.038,177213,4
2StGyGUbGAeXiPXbkBvU4s,En Fuse Pochu,Yuvan Shankar Raja | Karthik,Arrambam (Original Motion Picture Soundtrack),2013,51,0.679,0.554,3,-7.078,0,0.0303,0.505,0.0,0.145,0.501,104.964,282853,4
6jNqxmC4X9yiQi0X3HIXsf,Wasted On Each Other,James Bay | ,Electric Light,2018,39,0.609,0.79,6,-3.274,0,0.0374,0.195,2.16e-06,0.0533,0.457,96.069,238400,4
5Qk8EDxYWjqlhyvGWvwuUY,Watered Down Whiskey,Don Louis | ,This Is For You,2023,35,0.58,0.807,1,-5.327,1,0.0271,0.00401,0.0,0.0961,0.773,110.043,208723,4
68wnz3boQOV52ftVqs9Vpk,Sivapuraanam,Sivapuranam D. V. Ramani | ,Thiruvasaham  Vol. 1,2012,7,0.388,0.544,6,-7.757,1,0.037,0.775,0.0,0.09,0.521,90.622,1972010,4
0vG7a44gHt0wusOcfKcm7o,Idam Tharuvaya,Unnikrishnan | Pop Shalini,Appu (Original Motion Picture Soundtrack),2000,34,0.899,0.767,10,-10.07,0,0.0793,0.00848,0.000216,0.077,0.686,94.972,308880,4
74ZEKO5ELnuWvusdNGQbCo,The Scientist - Piano Version,Bastian Verte | ,The Scientist (Piano Version),2022,51,0.381,0.013,5,-34.047,1,0.06,0.996,0.965,0.0826,0.353,139.159,128924,4
6Zeg4QoCvzshBzdozKzCdY,Unathu Vizhiyil,T. M. Soundararajan | P. Susheela,Naan Yen Pirandhen (Original Motion Picture Soundtrack),1972,5,0.321,0.727,0,-6.241,1,0.0452,0.99,0.906,0.153,0.711,129.99,234213,4
4iKGu3xtvm90eBw0EIPWJP,"Naatu Naatu (From ""Rrr"")",Rahul Sipligunj | Kala Bhairava,"Naatu Naatu (From ""Rrr"")",2021,64,0.405,0.988,10,-3.843,0,0.0992,0.355,0.113,0.0815,0.703,160.052,214400,4
5Nuv6312XkkZd82AnnSc9g,Pookkalae Sattru Oyivedungal,A.R. Rahman | Haricharan,I (Original Motion Picture Soundtrack),2014,60,0.678,0.776,2,-5.827,1,0.0828,0.446,0.0,0.127,0.625,85.942,308162,4
17FI0no3xFinusngV9pYgF,Maapillai Naan,S. N. Surendar | ,Naalaiya Theerpu (Original Motion Picture Soundtrack),1992,7,0.619,0.64,0,-5.345,1,0.261,0.674,3.6e-05,0.289,0.732,126.221,460852,4
52FxyJzOORPhcj0nXPwzxr,Shahiba Shahiba,Yuvan Shankar Raja | Hariharan,Dass (Original Motion Picture Soundtrack),2005,8,0.85,0.738,11,-4.126,1,0.0911,0.109,0.000195,0.0405,0.712,95.016,237456,4
5fmaPRrT0NHt4jfNWhdlo7,Yevanda Ivan,Harris Jayaraj | MC Vickey,Gethu (Original Motion Picture Soundtrack),2015,40,0.754,0.95,2,-4.025,1,0.096,0.135,1.68e-05,0.342,0.292,108.004,191112,4
